,Rank,Film,Year,Count,"Running time
(minutes)",title_processed,movieId,title,genres,Mean,Count_ratings
0,1.0,Swearnet: The Movie,2014,935,112,swearnetthemovie,132132,Swearnet: The Movie (2014),Comedy,3.1,15
1,5.0,Summer of Sam,1999,435,142,summerofsam,2702,Summer of Sam (1999),Drama,3.079622132253711,2964
2,6.0,Nil by Mouth,1997,428,128,nilbymouth,1846,Nil By Mouth (1997),Drama,3.5187074829931975,294
3,7.0,Casino,1995,422,178,casino,16,Casino (1995),Crime|Drama,3.8237068028689416,18404
4,8.0,Alpha Dog,2006,420,118,alphadog,50442,Alpha Dog (2007),Crime|Drama,3.2717277486910996,955
5,9.0,Straight Outta Compton,2015,392,167,straightouttacompton,140715,Straight Outta Compton (2015),Drama,3.6943661971830988,1420
6,11.0,Starred Up,2013,337,106,starredup,110110,Starred Up (2013),Drama,3.6635802469135803,324
7,12.0,End of Watch,2012,326,109,endofwatch,96811,End of Watch (2012),Crime|Drama|Thriller,3.812532637075718,1915
8,15.0,Twin Town,1997,318,99,twintown,1539,Twin Town (1997),Comedy|Crime,3.104014598540146,274
9,18.0,Martin Lawrence Live: Runteldat,2002,311,113,martinlawrenceliverunteldat,5513,Martin Lawrence Live: Runteldat (2002),Comedy|Documentary,2.345528455284553,123
10,19.0,Menace II Society,1993,300,97,menaceiisociety,493,Menace II Society (1993),Action|Crime|Drama,3.6256521739130436,3450
11,20.0,Goodfellas,1990,300,146,goodfellas,1213,Goodfellas (1990),Crime|Drama,4.1805253650920005,32663
12,21.0,Narc,2002,297,105,narc,5959,Narc (2002),Crime|Drama|Thriller,3.497588908981314,1659
13,22.0,Harsh Times,2006,296,116,harshtimes,49314,Harsh Times (2006),Action|Crime|Drama,3.2468030690537084,391
14,23.0,Another Day in Paradise,1998,291,101,anotherdayinparadise,2440,Another Day in Paradise (1998),Drama,3.196165191740413,339
15,24.0,Made,2001,291,94,made,4452,Made (2001),Comedy,3.2361530715005036,993
16,25.0,Pride and Glory,2008,291,130,prideandglory,62792,Pride and Glory (2008),Crime|Drama,3.224310776942356,399
17,27.0,Goat,2016,289,96,goat,160646,Goat (2016),Drama,2.945945945945946,37
